Asset Name,Asset Category,Asset Description,Industry,Domain,Value Delivered/Key KPIs,Tech/AI/Core Capabilities,Number of projects,Clients Live with,Key Accounts/Clients,Client Feedback/Success Stories,Project PPMDs,Asset Lead,Positive Client Feedback Percentage,Keyword tagging,Image Tagging,IMO Category,Buyer Types,Outcome,Gift Baskets
Payment Calculation Transparency,New Idea,"Opportunity: Variance between the providers expected payment and the payment received from the payer can result in manual efforts by both parties to confirm which calculation is accurate. By giving providers access to the calculation used when determining the payment received and the referenced contracts they can quickly confirm if it is a payer issue. Solution: A feature on the payer portal can allow the provider to pull up any paid claim. On this page, a provider can see the exact calculation used to determine the paid amount and the referenced rate sheet / contracts.?",Healthcare ,Provider and Plan - Pricing Estimation/Contract Pricing,Number of underpayment appeals avoided through provider self service. Reduction in provider time spent analyzing provider underpayment appeals that are inaccurate. Less days required to confirm if a potential underpayment was accurate.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Contract Rules Pricing Extraction,  Provider Payment Estimation /Accelerator",ATADATA.jpg,HC Operations Modernization ,Operational Executive,Operational Cost Saving,TBD
Care Recommendation,New Idea,"An integrated voice bots enabled solution available to members by health plan for engaging members with the simple questions to assess symptoms and severity of health conditions in natural language.
",Healthcare ,Health Plan - Operations,"Searching through the nearest best possible care settings, providing all possible details about the selected providers covering distance, ratings, wait time, patients testimonials, expenses related information, etc. Based on severity of condition provide telemedicine care through counselors, and first aids through secure video on available screens.
",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Care Recommendation,Gardenia_Prior Authorization.jpg,Care Delivery Transformation,People Executives,Improve Employee Productivity,TBD
Augmented And Mixed Reality,New Idea,AR/VR can help hospitals/buyers make the right buying decisions for medical devices without having to go through content heavy manuals & can also help student learn better using a mixed reality experience which is a huge shift from traditional classroom learning.,Healthcare ,"Retail, Distributors",Visual approach to educte the potential buyers on a healthcare product.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Care Recommendation,Gardenia- Digital Front Door.jpg,Care Delivery Transformation,Financial Executive,Improve Employee Productivity,TBD
Health Connect,New Idea,Healthconnect solutions provides better manage home and community based care with chat video and messaging channels and this helps in access to Health Information when connected to broader system via interoperability.,Healthcare ,Health Plan - Operations,Better care to the member.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Care Management,Labor productivity analytics.jpg,Virtual Health,Operational Executive,Optimize Supply & Service Costs,TBD
Interactrx,New Idea,"Identifies fair market value (FMV) for physician compensation, tracks health care provider (HCP) rate activity and provides reporting analytics for fast and careful analysis of FMV data.",Healthcare ,Health Provider - Operations,Help the provider for better compensation.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,Compensation,Spend analytics.jpg,Data & AI,Financial Executive,Improve Employee Productivity,TBD
Deloitteassist,New Idea,"DeloitteASSIST puts a nurse at the patient's bedside 24/7. Using smart-speaker hardware, this solution provides voice-activated bedside assistance.",Healthcare,Health Provider - Clinical Operations,"Virtual health care to a member, with a 24*7 medical support.",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Virtual Care, Value Based Care",Management Intelligent platform.jpg,Virtual Health,People Executives,Optimize Supply & Service Costs,TBD
CH Miner,Productized Solution ,"The ConvergeHEALTH Miner Evidence Suite enables life sciences companies to transform how they manage, analyze, and share real-world data and other digital health data. This enables organizations to dramatically decrease the cycle time for insight and evidence generation, foster collaboration, and amplify the impact of these insights and evidence.",Lifesciences,Life Sciences R&D,"ConvergeHEALTH Miner Evidence Suite expands the use of real-world data and other digital health data across the product life cycle by: Breaking down traditional silos by providing a marketplace experience to easily discover data, insights, and evidence across the enterprise, enabling a broader set of stakeholders to analyze complex data through a comprehensive set of intuitive, self-service analytical applications that allow users to rapidly define cohorts, generate descriptive statistics, analyze treatment pathways, understand duration of therapy, compare effectiveness, and calculate incidence and prevalence, decreasing the time it takes to generate insights and evidence, driving innovation through an open architecture, microservices, and APIs that accelerate custom application development and allow the integration of third-party tools, fostering collaboration and knowledge-sharing across the enterprise through a user-centric design tailored to multiple personas, from business users to researchers to data scientists, creating a more data-driven ecosystem",TBD,TBD,TBD,"Merck, AZ, Gilead, Takeda, Pfizer",TBD,Jeff Morgan,Nishant Aggarwal,TBD,"real-world data, cycle time, self-service analytical applications, cohorts, descriptive statistics, therapy, effectiveness, incidence, prevalence",Digital Clinician.png,Data & AI,Operational Executive,Other,AI Insights & Engagement
CH Miner Access,Productized Solution ,"CH Miner Access offers products and services that help organizations define contracting and pricing relationships, enabling increased access and improved outcomes.
",Healthcare,Cross Domain - Pricing/Contract Management,"Helps to enable real-time, benchmarked insights on all contract scenarios, Create and design a new model to estimate future projections for a Drug. It also offers a platform to comply with state price transparency reporting obligations. The platform allows users to house and stay informed on all current state price transparency laws while also having a mechanism to automate and track the compliance responsibilities associated with the state price transparency reporting requirements.","Contracting Data, Pricing Data, Python rule engine to determine states where a drug prices have to be reported",TBD,2,"Pfizer, Vertex",TBD,David Carlson,David Carlson / Nishant Aggarwal,TBD,"contracting, pricing, relationships,  projections, Drug, transparency, reporting obligations, automation",Smart UM.jpg,"ERP+,HC Operations Modernization,Digital Transformation",Financial Executive,Optimize Supply & Service Costs,"Finance,Supply Chain"
CGI Connect,Productized Solution ,CGI Connect is a network enabled data exchange platform that facilitates seamless coordination of patient journeys in managing NextGen therapies by providing a standardized platfrom between providers and CGT manufacturers. ,Lifesciences,Life Sciences R&D,The CGI Connect product will have the ability to provide a one-stop shop solution for the entire CGT patient journey by becoming an industry standard utility enabling providers to schedule patients for mulitple therapies across multiple manufacturers.  It addresses a major pain point of the provider managing cell and gene therapies who currently have to log into mulitple different portals for every new therapy that is launched in the market by a manufacturer. It also provides significant cost savings for manufacturer or CGT sponsors who typically have to spend millions of dollars and years of implementation timeline in adapting their digital ecosystems to cell and gene therapies. ,"Core capabilities of CGI Connect will focus on clinical processes for autologous cell therapy including Patient Enrollment & Scheduling, Order Tracking, and Finished Product Delivery. The product is built on the AWS platform and will have an external facing portal for investigators to log in while the network will be maintained on the backend to support mulitple manufacturers.",NA,NA,"Currently, there are mulitple clients who have demonstrated interest in partnering for the development of the product. Some of these include TCR2, AstraZeneca, Bluebird Bio, and an operations porvider called Be The Match.",TBD,"Sid Karia, Rajesh Singh",Rajesh Sivanandadasan / Shynish Maru,TBD,"network, data exchange, therapies, providers, CGT manufacturers, one-stop shop solution, cost savings, cell, gene therapies ",Digital Examiner.jpg,"Care Delivery Transformation,Cloud,Digital Transformation",Life Sciences (Cell & Gene Therapy) Manufacturers,TBD,"Patient Experience Improvement,Experience & Engagement"
CH Care Intellect,Productized Solution ,"The Intellect suite is a cloud-based, guided-analytics solution designed specifically for health care providers to help them maximize and sustain financial margin, through clinical variation management. 
",Healthcare ,Health Provider - Operations,"Opportunity assessment: Compare variation in care patterns within clinical bundles cost across a health system and among physicians to identify improvement opportunity. Quality indicators: Mortality and readmission rates (e.g. CMS 30-day all-cause). Supplies and pharmacy: Drill into detailed charge-level data to find insights into usage patterns of drugs, supplies, etc.; identify candidates for substitution or elimination. Length of stay: Insights into excess days, level of care, discharge location patterns driving cost overages. Initiative tracking: Dashboards and targeted initiative tracking allow organizations to monitor progress/successes, and course-correct as necessary","AWS Cloud technologies - Redshift, Lambda, S3/QlikSense for loading the backend data into system's memory/ Web technologies such as Angular, NodeJS, Custom chart liberaries",11,2,UnityPoint,TBD,Jeff Pasqua,Jeff Pasqua,TBD,"cloud, analytics, Revenue cycle analytics",High Dollar Claims.png,"Care Delivery Transformation,Cloud,Data & AI,Digital Transformation",Health Care Providers,BI analytics solution impacting overall cost on clinical practices,"Payment Model Design,Cloud Operate,AI & Data Operations"
CH Revenue Intellect,Productized Solution ,"The Intellect suite is a cloud-based, guided-analytics solution designed specifically for health care providers to help them maximize and sustain financial margin, through revenue cycle and clinical variation management. Revenue Intellect is focused on Revenue cycle analytics that helps identify areas where providers are leaving net revenue on the table due to a breakdown in process or external factors.
",Healthcare ,Health Provider - Revenue Cycle,"Denial Analytics: Use Revenue Intellect to go from what to who and why in denials prevention. Easily dive into dozens of explanatory variables, such as root cause areas, and stratifications by facility, payer, physician, and service type. Insights into recovery rate, how well denials are being retrospectively addressed. AR management: Analyze AR performance through both traditional ATB analyses as well through advanced visualizations. Use cash curves to gain insight into speed-to-pay and performance of payers vs. expected. Clinical documentation improvement: Analytics to identify clinical cohorts that could benefit from improved accuracy and completeness of documentation leading to improved financial reimbursement and quality reporting. Charge capture: Targeted analyses aimed at identifying charge capture issues in common problem areas, such as ED and Observation injections, infusions, and bedside procedures","AWS Cloud technologies - Redshift, Lambda, S3/QlikSense for loading the backend data into system's memory/ Web technologies such as Angular, NodeJS, Custom chart liberaries",19,11,"MayoClinic, CHI, BJC, Unity Point",TBD,Jeff Pasqua,Jeff Pasqua,TBD,"cloud, analytics, Revenue cycle analytics",Program Integrity.png,"Care Delivery Transformation,Cloud,Data & AI,Digital Transformation",Health Care Providers,Analytics related to revenue cycle management KPIs impacting overall revenue of a hospital,"Payment Model Design,AI Insights & Engagement"
Care Model Insights,Solution,CareModel Insights applies Deloitte proprietary methodology and market trends to client data to pinpoint and quantify financial risks associated with hospital service shifts to lower-acuity ambulatory settings.,Healthcare ,Health Provider - Operations,"Identify potential disease states that are changing site of care, Quantify margin impact of various care shift options, Highlight contestable volume, specifically in clinical areas using remote care advances, Subscription enables ongoing market reality monitoring and supports organizational change.",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"Analytics,  analytical platform, Data science, Financial Risk, Capital Planning, Financial Planning, Financial assessment, Financial forecasting, budget forecasting, workforce planning, ROI, Return on Investment, cost saving, ambulatory model, ambulatory care, ambulatory network, forecasting, telemedicine, clinical care model, care model, virtual care, remote care, change management, home hospital, home healthcare, digital transformatiom, cost optimization, patient experience, care delivery",Intelligent Secure Messaging.png,TBD,TBD,TBD,TBD
Mypath For Connected Care,Solution,"This platform delivers capabilities by enabling personalized treatment plans, more efficient workflows, and improved visibility of adherence to at-home care plans.",Healthcare,Health Provider - Clinical Operations,"Empowers patients on their own health journeys with their own devices in an easy-to-use interactive application thanks to Apple's Health Kit, Designs continuous strategies and builds capabilities that deploy patient-centered, virtual home care.",TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"at home care, virtual care, interactive application, patient centered",Strategy Accelerator.png,TBD,TBD,TBD,TBD
Converge Health Connect,Productized Solution,"ConvergeHEALTH Connect (CHC) for Life Sciences is an industry-leading, high-touch digital solution built on Salesforce Health Cloud. This digital patient experience platform empowers companies to directly manage and deliver personalized patient engagement and support services across global markets, communication channels, and the full treatment ecosystem, improving adherence, care coordination, and outcomes.",Lifesciences,Life Sciences - Service Excellence and Patient Engagement,"Helps provider organizations attract, retain and engage patients, Enhance coordination to efficiently manage and deliver patient support, virtual care, care at home and remote monitoring capabilities.",Delivered as an upgradabe managed package on Salesforce Health Cloud CRM,TBD,TBD,TBD,TBD,Amarinder Sidhu,Amarinder Sidhu,TBD,"personalized engagement, retain and engage patients, patient support, virtual care, care at home, remote monitoring",Revenue Intellect.jpg,"Care Delivery Transformation,Cloud,Digital Transformation",Life Sciences Operational Executive,"Accelerate patient onboarding and access to therapy?, Patient Insights","Patient Experience Improvement,Experience & Engagement,Cloud Operate"
